Username,View_ID,View_Name,Last_Viewed,Times_Viewed
ac########,8246029,June Academic Data,2022-08-05,1
al########,8246029,June Academic Data,2022-08-05,2
bg########,8246029,June Academic Data,2022-08-05,1
bz########,8246029,June Academic Data,2022-07-05,2
cs########,8246029,June Academic Data,2022-07-06,2
ct########,8246029,June Academic Data,2022-08-05,1
cw########,8246029,June Academic Data,2022-08-05,1
dj########,8246029,June Academic Data,2022-08-05,1
dr########,8246029,June Academic Data,2022-08-05,2
es########,8246029,June Academic Data,2022-08-05,1
ew########,8246029,June Academic Data,2022-07-08,4
gw########,8246029,June Academic Data,2022-08-05,2
jb########,8246029,June Academic Data,2022-08-05,1
jc########,8246029,June Academic Data,2022-06-23,1
lf########,8246029,June Academic Data,2022-08-05,1
mr########,8246029,June Academic Data,2022-06-27,1
ta########,8246029,June Academic Data,2022-06-28,1
tb########,8246029,June Academic Data,2022-08-05,1
to########,8246029,June Academic Data,2023-04-17,13
yw########,8246029,June Academic Data,2022-07-06,1
bz########,8094527,Academic Snapshot,2022-05-19,1
ig########,8094527,Academic Snapshot,2022-08-23,2
kk########,8094527,Academic Snapshot,2022-08-31,1
sl########,8094527,Academic Snapshot,2022-07-14,1
to########,8094527,Academic Snapshot,2022-06-03,3
vb########,8094527,Academic Snapshot,2022-08-05,2
aj########,7455990,Attendance,2022-11-04,13
bg########,7455990,Attendance,2022-06-30,6
bz########,7455990,Attendance,2022-06-28,25
cs########,7455990,Attendance,2022-07-06,1
fd########,7455990,Attendance,2022-01-26,1
ig########,7455990,Attendance,2022-06-23,19
jc########,7455990,Attendance,2022-07-27,10
js########,7455990,Attendance,2022-06-06,16
js########,7455990,Attendance,2023-03-14,13
kf########,7455990,Attendance,2022-01-21,4
ks########,7455990,Attendance,2021-10-13,2
sl########,7455990,Attendance,2022-07-14,15
sm########,7455990,Attendance,2023-01-23,10
so########,7455990,Attendance,2022-02-05,42
sp########,7455990,Attendance,2022-07-19,10
ta########,7455990,Attendance,2022-02-10,1
to########,7455990,Attendance,2023-04-17,25
vb########,7455990,Attendance,2022-08-05,1
yw########,7455990,Attendance,2022-08-05,1
bz########,8268180,Attendance Without Record,2022-08-04,1
ig########,8268180,Attendance Without Record,2022-08-23,1
rb########,8268180,Attendance Without Record,2022-11-14,1
sp########,8268180,Attendance Without Record,2022-06-30,1
to########,8268180,Attendance Without Record,2022-07-14,4
vb########,8268180,Attendance Without Record,2022-08-05,1
aj########,7455995,Culture Snapshot,2022-11-04,7
bg########,7455995,Culture Snapshot,2022-07-07,8
bz########,7455995,Culture Snapshot,2022-07-25,36
ew########,7455995,Culture Snapshot,2022-08-18,5
fd########,7455995,Culture Snapshot,2022-06-03,4
ig########,7455995,Culture Snapshot,2022-11-03,49
jc########,7455995,Culture Snapshot,2022-07-27,5
js########,7455995,Culture Snapshot,2022-07-01,8
js########,7455995,Culture Snapshot,2022-05-31,3
kf########,7455995,Culture Snapshot,2022-07-25,2
mr########,7455995,Culture Snapshot,2022-12-07,6
nc########,7455995,Culture Snapshot,2022-12-05,3
sd########,7455995,Culture Snapshot,2022-06-23,1
sl########,7455995,Culture Snapshot,2022-07-14,7
sm########,7455995,Culture Snapshot,2022-02-18,7
so########,7455995,Culture Snapshot,2022-02-08,43
sp########,7455995,Culture Snapshot,2022-07-20,8
to########,7455995,Culture Snapshot,2023-05-03,28
vb########,7455995,Culture Snapshot,2022-08-05,3
yw########,7455995,Culture Snapshot,2022-08-22,5
bg########,7481738,Student Academic Snapshot,2021-12-07,3
bz########,7481738,Student Academic Snapshot,2022-05-16,16
ig########,7481738,Student Academic Snapshot,2022-08-23,10
jc########,7481738,Student Academic Snapshot,2022-04-08,1
js########,7481738,Student Academic Snapshot,2021-10-07,1
sl########,7481738,Student Academic Snapshot,2022-07-14,1
sm########,7481738,Student Academic Snapshot,2021-10-07,2
so########,7481738,Student Academic Snapshot,2022-02-24,30
sp########,7481738,Student Academic Snapshot,2022-07-19,5
to########,7481738,Student Academic Snapshot,2023-05-05,7
